"","cHL1","cHL2","cHL3","cHL4","cHL5","cHL6","cHL7","cHL8","cHL9","cHL10","cHL11","cHL12","NLPHL1","NLPHL2","NLPHL3","NLPHL4","NLPHL5","CB1","CB2","CB3","CB4","CB5"
"EPOP",7.35816487900939,6.76134652669429,7.10008154077664,6.76046413662459,6.49629424744097,6.56107704107411,5.16369028247123,6.02848703319382,7.23676206700484,6.11864170483664,5.80342237350813,6.33880212683885,6.96963074267949,6.64232615244301,7.32862622297578,6.83519665842403,7.74439182678134,4.26905552860074,4.82535065192023,4.50258393501186,4.26930610093456,3.83087809702192
"BCL2L11",5.0214384159121,5.96559206852133,3.37157196559439,7.50505378789499,6.83228538313272,5.12291096422318,3.9843487316274,5.21555832184693,3.10628862374995,5.3031769020139,7.30472338771141,6.76409839912769,8.36532674950447,6.67587581469333,7.19508044000799,6.87325767262568,6.8559918832837,8.03218427119976,7.27097206438382,7.55290554671713,7.69829589302923,7.42611901691714
"LINC00173",5.40215189521731,5.51777988431285,6.64476514171266,4.82959184739115,5.09939487478005,4.59544083758375,3.2684455138524,5.62243114409416,4.50014372702167,5.39429579953297,4.79623227639196,5.12276995308192,6.91532618863704,5.88940119600018,5.83756289779184,5.88338680912607,5.6076671245711,3.97216423699052,4.64153894635053,4.25550895230918,4.53219206899248,4.62827924969763
"LINC00184",4.58077335696806,3.02051483416901,4.31390059430316,4.0138020284548,4.90364653449412,5.78243235270026,5.70661732921111,2.85659460821545,2.35567266137384,2.74264235685264,2.40923906577134,4.23905341436867,2.30543369512126,2.52928524293404,2.38554265475948,2.10035657680358,1.82923248208067,2.07056048223757,2.5972119291524,2.40392166421836,2.05258575766163,2.26151649843463
"MIR181A2HG",4.61004430849289,4.98393234221193,4.56648298190817,5.56988622161396,5.84525771959139,6.22616096256681,4.48139146310309,7.49678173402625,5.33359519183061,8.05033838624284,8.61979613739157,6.54199582120233,5.03768296832234,4.47649083993245,4.89968684146172,5.16144141852312,5.59936175279188,6.71086233814152,6.24184273804824,5.90581947124137,7.78987037640857,6.37494976410857
"RANBP9",4.10203782251391,5.57431211052997,5.89801463915995,5.76327015770871,6.36835201228548,4.81896076384263,6.97121344993529,4.39603415879136,5.08890795023965,4.98206296868079,5.12422410335875,6.44381952056099,5.62735715784695,6.63607366327341,6.82438632604273,6.87708444380107,7.27061050424432,7.1284843030917,7.02214210310575,7.32641870687251,7.62698239103205,7.56872624837212
"THAP9-AS1",2.33721182905552,2.60434755999008,2.82203323575099,2.59665836586855,3.4880876214254,2.39420718651331,2.84647238612184,1.99881075527767,2.11663563881927,2.50881887743542,2.28238118590097,2.31906687513384,2.76651663186118,3.39968564592746,3.7460851503793,3.07577967376372,3.80333877211476,4.18193716324342,2.79283384759777,4.5051659747079,4.61018912019731,4.4440932533282
"LOC100505501",2.59964925313753,2.23671126039364,2.74658031507732,2.63561786064211,3.1153673363848,3.31886778603859,2.49802607395313,2.60889409414993,3.09014254302833,2.43015781105461,3.34063262886944,4.24307792173221,4.9034127796038,3.10707135430594,3.58607958236519,4.41575606914856,5.35320807195286,4.28187704943945,4.64153894635053,5.06152236557226,6.18377859057015,5.06152236557226
"EDNRB-AS1",3.61848312858554,3.91610901971887,2.65657352933524,4.10420535837912,4.18845523679462,4.03606169430014,2.13100676397025,5.20471636444626,2.10882919831543,6.11864170483664,6.51971155579546,3.25473636903796,2.70801327348213,2.91932504642357,2.50226718098258,2.51193614874341,3.48536571413693,4.50485095976635,4.80612650136754,3.4752689962554,5.35563110212367,4.0558769151673
"LOC100505549",5.85109225093094,5.49475654199907,5.00210782319523,6.85924072545556,6.03712220928732,6.08016099325215,3.93296172778255,6.11367843742766,3.4814991767938,6.6237317092209,6.729995751108,6.06594244434315,6.00123562755938,6.24955679674963,5.61250182307754,6.2200031733527,5.99278105677477,7.88410095017478,7.75149426576044,8.06694539074102,8.16506841424572,7.6534298320849
"EBLN3P",4.08350543237691,4.86796684172756,4.79941640108956,4.73063120938452,5.04598485905487,2.76738618765807,3.4018716834731,2.37367749133107,3.1318447119469,3.30146015732521,2.72462090590531,5.74075169991855,5.00634386943674,5.778869394272,5.17256591594067,5.03923497461296,5.54149134145675,8.04367585821482,7.62393735441391,8.31268984320465,8.47803456054556,8.40848295430245
"TSPOAP1-AS1",4.8676295665661,6.254823426141,6.277566714394,6.20797486529417,7.15276715206496,3.88152113413085,4.57615923114905,3.7867188370422,5.23554035568961,3.44074497124075,2.89140483008961,6.41668381213668,5.95444180979587,5.96848026738412,5.36855256890246,5.84967950243136,6.86514184989159,6.0316616247815,5.9851716979456,6.4359074635639,6.90670917540595,6.51403588667872
"LINC00665",2.19765072286745,2.1063809844789,2.07618698668036,2.81656048527815,2.33628557811013,2.50237218711855,2.86448171294954,2.74436678558401,2.02258098001921,2.64917311716482,2.5081726516253,2.25222441997168,2.99551899416809,2.25545792866545,2.20981744654647,3.98090667771297,2.78263123352207,3.99851113325641,4.47649083993245,3.63360304901675,4.16205724386251,4.27353128947843
"LINC01578",6.0315035791184,6.33816028349687,7.06759238844771,6.33880815522673,6.78003389091706,6.3457069276746,4.91838267488856,4.34755156095101,5.97398542478759,5.37313959285338,5.62325186318835,6.8501500904332,7.05505962781137,6.75348661519477,6.83557274800167,7.38045412779642,6.6504020552489,7.61266212131238,5.79650813263433,7.8225613778798,7.68255829434801,7.4714426052616
"SNHG19",2.11060443603161,4.01758703666241,3.71811832334681,4.54876714801007,4.14669374501491,4.93730657469196,5.90988292034712,2.35862877022662,3.38728739323747,4.20596838222257,3.40671891630152,4.11258984788267,5.2307400043321,4.44525055789933,4.72704483160352,4.61414257203185,4.09888102954232,3.05120292775372,3.32913646332877,3.68749863322554,3.36905368689212,3.07648624502838
"MICA",3.39042895406874,4.86647353686793,6.13118554365113,3.98403184419246,5.07552564839181,4.59565519153072,5.19663543819728,4.18688312228456,5.46087152767246,4.81439375311661,4.23785876629841,4.32721749734043,4.51860210260518,4.91564564574048,5.57919458425193,5.5178942611865,4.31407415552751,4.02738711499958,3.65817741774558,3.65563065951793,4.1246367358797,3.5690627244532
"SDCBP2-AS1",2.21376883921815,2.06617659866056,1.8323521169502,2.76508731145013,3.38585200048283,3.37931848151703,1.64105042410839,4.4047699519699,1.39298560526825,3.83286196140968,4.57900287648862,3.1762707233386,2.86633049309989,2.21376883921815,2.87516605442494,2.69367046444896,2.65202496894852,3.84459971381275,3.78810842964171,3.93909260465862,3.87957011339271,3.76602255256711
"SMC4",3.33960729547631,3.34435352908669,3.43238352737628,3.47866133164715,4.09239794363849,2.61567345176265,3.50180671345644,2.39592787973234,2.10284838888988,2.36587313075366,2.43493359380582,2.73230634068541,3.49548856167655,3.69432723420819,2.76209256168565,3.61484551234413,4.15840705405452,5.86845314154784,4.05921242762036,5.70315456853156,6.28798829372451,5.91584293397652
"UBA2",3.90822701763883,4.3704737883679,4.36155963298072,4.38054185918081,4.92258625779085,3.69960330688712,3.66081059814535,2.67522275372788,2.02321192289232,3.4367667258904,3.91073985575393,4.50371079731504,4.26075813013857,4.14987068113546,4.52544584224157,4.66141914132523,5.12095264722503,6.3556364808144,4.95161698585607,6.3295225877417,6.318793352321,5.84907233778929
"ABCC5",2.8788662456198,4.96481586099576,3.32036599389697,2.81972812021632,4.41202464284559,3.57873296849857,4.04983082663388,3.36426091648213,4.50012663508769,3.52968219610759,3.16819426751178,3.12438274597101,3.80940719931782,5.35654633027459,4.36490191157425,4.93577201021449,3.55340036588665,3.25602005912588,3.40342101589181,3.21624209330959,3.15301200188176,3.268107754796
